num_turbs,cycle_time,turb_num,actual_k,hours,od_measurement,k_estimate,transfer_vol
8,1.25,0,0.0,0.0,0.50789,0.45,0.05
8,1.25,0,0.0,0.021,0.48587,0.415,0.1335
8,1.25,0,0.0,0.042,0.42179,0.36,0.05
8,1.25,0,0.0,0.062,0.40636,0.389,0.05
8,1.25,0,0.0,0.083,0.38142,0.338,0.05
8,1.25,0,0.0,0.104,0.36848,0.39,0.05
8,1.25,0,0.0,0.125,0.34381,0.339,0.05
8,1.25,0,0.0,0.146,0.33825,0.522,0.05
8,1.25,0,0.0,0.167,0.31922,0.451,0.05
8,1.25,0,0.0,0.188,0.30772,0.471,0.05
8,1.25,0,0.0,0.208,0.29508,0.449,0.05
8,1.25,0,0.0,0.229,0.2757,0.39,0.05
8,1.25,0,0.0,0.25,0.26994,0.53,0.05
8,1.25,0,0.0,0.271,0.2516,0.458,0.05
8,1.25,0,0.0,0.292,0.23931,0.397,0.05
8,1.25,0,0.0,0.312,0.22813,0.345,0.05
8,1.25,0,0.0,0.333,0.21839,0.331,0.05
8,1.25,0,0.0,0.354,0.20225,0.288,0.05
8,1.25,0,0.0,0.375,0.19152,0.253,0.05
8,1.25,0,0.0,0.396,0.18391,0.274,0.05
8,1.25,0,0.0,0.417,0.17495,0.24,0.05
8,1.25,0,0.0,0.438,0.17053,0.372,0.05
8,1.25,0,0.0,0.458,0.16147,0.323,0.05
8,1.25,0,0.0,0.479,0.16113,0.611,0.05
8,1.25,0,0.0,0.5,0.1489,0.527,0.05
8,1.25,0,0.0,0.521,0.14267,0.491,0.05
8,1.25,0,0.0,0.542,0.13892,0.577,0.05
8,1.25,0,0.0,0.562,0.12891,0.498,0.05
8,1.25,0,0.0,0.583,0.12347,0.464,0.05
8,1.25,0,0.0,0.604,0.12173,0.644,0.05
8,1.25,0,0.0,0.625,0.11005,0.555,0.05
8,1.25,0,0.0,0.646,0.10712,0.628,0.05
8,1.25,0,0.0,0.667,0.10466,0.718,0.05
8,1.25,0,0.0,0.688,0.09324,0.618,0.05
8,1.25,0,0.0,0.708,0.08883,0.533,0.05
8,1.25,0,0.0,0.729,0.09314,0.903,0.05
8,1.25,0,0.0,0.75,0.08385,0.775,0.05
8,1.25,0,0.0,0.771,0.08543,1.109,0.05
8,1.25,0,0.0,0.792,0.07312,0.95,0.05
8,1.25,0,0.0,0.812,0.07107,0.954,0.05
8,1.25,0,0.0,0.833,0.06858,0.906,0.05
8,1.25,0,0.0,0.854,0.06227,0.777,0.05
8,1.25,0,0.0,0.875,0.06081,0.842,0.05
8,1.25,0,0.0,0.896,0.0579,0.724,0.05
8,1.25,0,0.0,0.917,0.05497,0.622,0.05
8,1.25,0,0.0,0.938,0.05631,0.979,0.05
8,1.25,0,0.0,0.958,0.05623,1.173,0.05
8,1.25,0,0.0,0.979,0.04561,1.005,0.05
8,1.25,0,0.0,1.0,0.05218,1.304,0.05
8,1.25,0,0.0,1.021,0.05013,1.171,0.05
8,1.25,0,0.0,1.042,0.04579,1.003,0.05
8,1.25,0,0.0,1.062,0.04376,0.877,0.05
8,1.25,0,0.0,1.083,0.0367,0.753,0.05
8,1.25,0,0.0,1.104,0.04096,1.09,0.05
8,1.25,0,0.0,1.125,0.03551,0.934,0.05
8,1.25,0,0.0,1.146,0.0383,1.244,0.05
8,1.25,0,0.0,1.167,0.03497,1.065,0.05
8,1.25,0,0.0,1.188,0.03553,1.355,0.05
8,1.25,0,0.0,1.208,0.02761,1.159,0.05
8,1.25,0,0.0,1.229,0.02699,1.173,0.05
8,1.25,0,0.0,1.25,0.0264,1.188,0.05
8,1.25,0,0.0,1.271,0.02295,1.017,0.05
8,1.25,0,0.0,1.292,0.02459,1.315,0.05
8,1.25,0,0.0,1.312,0.02529,1.568,0.05
8,1.25,0,0.0,1.333,0.02061,1.34,0.05
8,1.25,0,0.0,1.354,0.02387,1.589,0.05
8,1.25,0,0.0,1.375,0.01626,1.358,0.05
8,1.25,0,0.0,1.396,0.02129,1.604,0.05
8,1.25,0,0.0,1.417,0.02077,1.538,0.05
8,1.25,0,0.0,1.438,0.02039,1.526,0.05
8,1.25,0,0.0,1.458,0.01801,1.305,0.05
8,1.25,0,0.0,1.479,0.01678,1.116,0.05
8,1.25,0,0.0,1.5,0.01406,0.956,0.05
8,1.25,0,0.0,1.521,0.01461,1.263,0.05
